virusUprot,humanUprot
Q6QZ82,P36941
Q6QZ83,P36941
Q6QZ84,P36941
Q6QZ85,P36941
Q6QZ87,P36941
Q6QZ88,P36941
Q6QZ91,P36941
Q6QZ99,P36941
Q6QZA0,P36941
Q6QZA1,P36941
Q6QZA2,P36941
Q6QZA3,P36941
Q6QZA4,P36941
Q6QZA5,P36941
Q6QZA6,P36941
Q6QZA7,P36941
Q6QZA9,P36941
Q6QZD2,P36941
Q6QZD3,P36941
Q6QZD8,P36941
Q6QZE2,P36941
Q6QZE3,P36941
Q6QZE5,P36941
Q6QZE7,P36941
Q6QZE8,P36941
Q6QZE9,P36941
Q6QZF1,P36941
Q6QZF2,P36941
Q6QZG0,P36941
Q6QZG4,P36941
Q6QZG5,P36941
Q6QZG6,P36941
Q6QZG7,P36941
Q6QZG8,P36941
Q6QZG9,P36941
Q6QZH0,P36941
Q6QZH1,P36941
Q6QZH2,P36941
Q6QZH3,P36941
Q6UNT8,P36941
Q8BES1,P36941
Q6QZG4,O00410
Q6QZG4,O14744
Q6QZG4,O95801
Q6QZG4,P12814
Q6QZG4,Q14240
Q6QZG4,Q15631
Q6QZG4,Q6AZW6
Q6QZG4,Q6ZRS2
Q6QZG4,Q99941
Q6QZG4,Q9UJM8
Q6QZG4,Q9UMX0
Q6QZG4,P02647
Q6QYR1,P61978
Q6QYR1,P04637
Q6QYR2,P61978
Q6QYR2,P04637
Q6QYR3,P61978
Q6QYR3,P04637
Q6QYR4,P61978
Q6QYR4,P04637
Q6QYR5,P61978
Q6QYR5,P04637
Q6QYR6,P61978
Q6QYR6,P04637
Q6QYR7,P61978
Q6QYR7,P04637
Q6QYT2,P61978
Q6QYT2,P04637
Q6QYT4,P61978
