virusUprot,humanUprot
Q0HD54,P04908
Q0HD54,P30050
Q0HD54,P60866
C3W5S7,O00459
C3W5S7,O14654
C3W5S7,Q5JVF3
D1LN35,Q00839
D1LN35,P31942
D1LN35,P62269
D1LN35,Q86U42
D1LN35,Q99729
D1LN35,O43390
D1LN35,Q9NZI8
D1LN35,P38159
D1LN35,Q08211
D1LN35,O14654
D1LN35,Q12905
D1LN35,P31943
D1LN35,P14866
D1LN35,O00459
D1LN35,Q08380
D1LN35,P16989
D1LN35,Q13310
D1LN35,Q9BUJ2
D1LN35,Q9HAV7
D1LN35,Q8N163
D1LN35,P62829
D1LN35,P35268
D1LN35,P07437
D1LN35,P63267
D1LN35,P23396
D1LN35,P51991
D1LN35,Q12906
D1LN35,P09651
D1LN35,Q9HCE1
D1LN35,P43243
D1LN35,Q13151
D1LN35,P62736
D1LN35,P22626
D1LN35,O14979
D1LN35,Q9Y224
D1LN35,P67809
D1LN35,Q15717
D1LN35,P07910
D1LN35,P61978
D1LN35,P52597
D1LN35,P11940
D1LN35,P25398
Q8QPK2,Q9NPP4
Q8QPK2,P29466
Q8QPK2,Q9BX69
P03495,P29353
P03495,P29353
P03495,Q96F86
Q5L4H4,O43707
P03495,P35568
Q5L4H4,O43707
P03495,P35568
Q1NZ49,P04637
P03496,O95793
P03495,Q13651
P03495,P55916
P03495,Q92844
P03495,P04049
P03495,Q13651
P03495,P55957
P03495,P55916
P03495,Q92844
P03495,P04049
C3W6D7,O43707
P03495,O60869
P03495,Q07812
P03495,O60869
B2BU63,O43707
C9S3S8,O43707
P03466,O43707
Q6DPG0,O43707
Q91U50,O43707
P03495,O43521
P03495,Q9Y2T1
P03495,O43521
Q8JR21,O43707
P15659,Q9UNM6
H9XIJ5,Q8TDD1
P03496,Q13126
P03433,P06396
P03508,O14503
H9XIJ5,P17655
P03508,Q8N5R6
P03508,Q9UJ41
H9XIJ5,Q14203
H9XIJ5,Q8NDB6
P03508,Q96DZ9
P03430,Q8IWX8
P05777,P06493
P03470,P00966
P05780,P06493
P03470,Q14315
P05780,Q7L2H7
P05780,Q9NRY2
P05780,O14980
P03427,Q15773
P03427,Q9BQE3
P15659,P20290
Q20MH0,P30153
P03430,P26641
P15659,E9PAV3
P03454,P82914
P03470,P06703
P05780,P29317
P05777,P19367
P03430,O75688
P15682,O00410
P15682,O00505
P15682,Q86U42
P05777,P04632
P05777,O43684
P03454,O15269
P03427,Q8N5C6
P03454,P31943
P03470,P16401
P03470,P53621
P05777,P11940
P03454,P62847
P05777,O00217
P03470,P62899
P03454,P62917
P05777,O15260
P05777,P10412
P15682,Q14152
P03470,P62195
P03430,P55072
P03430,P07900
